Thin Section: 	C:\Ice Data\2017-07-21-Fri\10.08 SPICE 1699 VTS

Results: 	C:\Ice Results\2017-07-21-Fri\10.08 SPICE 1699 VTS\2017-07-21-Fri, 14.11

Sequence Angles: 
xi	phi inner
0	0
45	0
45	-45
45	-90
45	-135
45	-180
45	-225
45	-270
45	-315

Threshold: 
45.000

Grain #		theta		phi	Rsquared

224.000000	-28.981633	82.333440	0.000190
225.000000	58.990917	86.466667	0.001537
226.000000	40.905569	88.196711	0.006273
227.000000	-32.315356	89.936235	0.007115
228	grain not analyzable
229.000000	-10.656780	-36.709411	0.361414
230.000000	70.540401	82.992604	0.002466
231.000000	40.833348	-78.413694	0.015498
232.000000	17.830440	-34.868810	0.001713
233.000000	15.867097	-32.826358	0.004967
234.000000	-37.481251	89.249371	0.000937
235.000000	80.310653	-87.204054	0.363344
236.000000	53.017451	85.091701	0.002056
237.000000	74.070486	89.770591	0.002339
238.000000	-23.066703	86.268260	0.011880
239.000000	44.097918	-83.726405	0.007953
240.000000	51.543105	79.904321	0.001180
241.000000	-32.449659	86.453126	0.003735
242.000000	61.810736	88.692799	0.002000
243.000000	60.882748	89.246994	0.001185
244.000000	-87.447357	87.420038	0.006686
245.000000	20.184638	-85.301361	0.001377
246.000000	37.213473	-75.266942	0.007546
247.000000	16.333299	-37.235559	0.002654
248.000000	36.653537	-79.896622	0.005652
249.000000	11.007377	-61.842101	0.001188
250.000000	-15.398773	84.123081	0.001079
251.000000	58.194439	-87.758500	0.007416
252.000000	59.711137	-84.562096	0.003994
253.000000	65.896249	83.844310	0.004688
254.000000	-21.045848	-74.031491	0.009508
255.000000	-50.833590	-83.521623	0.002691
256.000000	24.120564	-70.053181	0.000371
257.000000	20.261417	81.854935	0.011115
258.000000	77.993615	87.323072	0.004964
259.000000	49.571903	77.951118	0.002996
260.000000	42.374568	-70.169419	0.009092
261.000000	40.177645	69.592062	0.001410
262.000000	-47.228229	-87.939159	0.002540
263.000000	61.543829	-85.605327	0.016657
264.000000	62.908439	88.117835	0.000672
265	grain not analyzable
266.000000	33.926941	74.439182	0.003177
267.000000	30.122198	-65.680086	0.030774
268.000000	32.925426	77.431303	0.001582
269.000000	12.157222	46.349423	0.002213
270.000000	-30.701083	85.256559	0.002397
271.000000	46.768544	-89.022688	0.005835
272.000000	18.362592	-54.217520	0.001259
273.000000	17.599131	34.759114	0.015435
274	grain not analyzable
275.000000	46.917893	-75.065360	0.033581
276.000000	-53.735713	88.116576	0.003176
277.000000	-88.443900	-87.971361	0.004650
278.000000	62.212576	83.219626	0.000479
279.000000	61.014088	-83.056808	0.068972
280.000000	26.281295	77.948053	0.000383
281.000000	24.838031	81.886942	0.002675
282.000000	75.703545	85.779871	0.002081
283.000000	-77.386629	-77.034774	0.002790
284.000000	27.815332	-75.771136	0.000830
285.000000	66.224759	83.706487	0.015474
286.000000	77.050747	76.942772	0.001726
287.000000	53.137052	-76.511824	0.002028
288.000000	13.695898	87.513195	0.002958
289.000000	26.227804	64.568462	0.000178
290.000000	86.579569	84.915335	0.002292
291.000000	73.137017	85.524489	0.132419
292.000000	-35.058977	85.744038	0.006214
293.000000	-87.540995	78.004199	0.007269
294.000000	40.495804	80.937055	0.003520
295.000000	-32.599827	70.430180	0.042879
296.000000	62.720901	71.806538	0.004903
297.000000	44.663941	-90.407938	0.001217
298.000000	54.745549	76.483006	0.006535
299.000000	-29.649732	67.615066	0.002192
300.000000	9.499878	63.167538	0.001604
301.000000	-86.576113	77.598040	0.001131
302.000000	41.443780	74.606485	0.001090
303.000000	41.697606	81.584064	0.009549
304.000000	55.649698	83.160486	0.003772
305.000000	55.214768	71.517134	0.001933
306.000000	54.705496	73.606184	0.053838
307.000000	18.983397	71.463190	0.001614
308.000000	-28.377713	73.748127	0.000311
309.000000	22.946478	51.677666	0.001303
310.000000	57.067786	73.126037	0.025297
311.000000	-62.732160	81.361173	0.153319
312.000000	68.531107	79.321472	0.007214
313.000000	68.305849	86.658220	0.006058
314.000000	75.165874	80.928833	0.002572
315.000000	19.655472	71.958956	0.000065
316.000000	-65.447416	72.095014	0.002768
317.000000	43.534929	-76.217714	0.005612
318.000000	76.090364	78.807690	0.002102
319.000000	67.559004	86.912486	0.004094
320.000000	74.983222	79.404891	0.011629
321.000000	35.146363	-86.148502	0.005038
322.000000	42.152679	87.748041	0.003326
323.000000	57.624379	74.077127	0.009392
324.000000	24.841055	-74.643673	0.178893
325.000000	53.193305	-89.051322	0.000692
326.000000	63.161277	83.543105	0.006565
327.000000	-72.117849	87.617690	0.005333
328.000000	-53.222369	84.345842	0.006096
329.000000	51.971287	-86.783491	0.004697
330.000000	50.064096	-73.294491	0.007127
331.000000	72.966036	-85.351484	0.006645
332.000000	-50.421346	86.060700	0.002813
333.000000	-50.424250	88.825827	0.005797
334.000000	24.525970	-65.504052	0.002012
335.000000	55.993297	84.182289	0.001511
336.000000	45.452817	-86.678755	0.002385
337.000000	45.709357	76.820793	0.015293
338.000000	44.634471	86.632804	0.003041
339.000000	74.872121	80.760656	0.004936
340.000000	-73.657407	-89.963720	0.001486
341.000000	46.905515	81.013719	0.003333
342.000000	64.616455	-76.379706	0.016293
343.000000	58.152679	-86.357402	0.002255
344.000000	64.174735	-66.414203	0.006430
345.000000	39.966555	85.917257	0.004531
346.000000	-76.663808	81.205629	0.003050
347.000000	65.519356	85.909296	0.018844
348.000000	59.697639	-77.464756	0.005526
349	grain not analyzable
350.000000	-46.798586	-82.551754	0.003968
351.000000	49.604662	-88.785893	0.473046
352.000000	33.671775	84.909914	0.000283
353.000000	-52.712196	87.765967	0.014669
354.000000	66.307662	88.813306	0.059833
355.000000	-3.871984	2.933696	0.009003
356.000000	-11.601066	78.430127	0.001095
357.000000	-32.019380	-89.452079	0.011038
358.000000	45.051148	-88.092810	0.003614
359.000000	50.825827	-84.045769	0.004030
360.000000	-50.942834	-87.273031	0.001944
361.000000	38.696143	-74.409126	0.012382
362.000000	69.115956	75.269581	0.004231
363.000000	-8.028713	-60.861242	0.015059
364.000000	82.284470	81.613054	0.001426
365.000000	48.214302	-87.311849	0.001826
366.000000	15.620540	-30.080592	0.002976
367.000000	45.126684	81.527862	0.002307
368.000000	77.168831	-79.045848	0.004078
369.000000	-5.896264	76.810644	0.027336
370.000000	78.229356	81.963672	0.001731
371.000000	56.777631	86.032337	0.007977
372.000000	60.729863	-75.496172	0.011476
373.000000	28.993826	-57.023764	0.000704
374.000000	48.407261	-73.374245	0.010312
375.000000	56.925426	-88.456981	0.005598
376.000000	31.718637	81.665032	0.002128
377	grain not analyzable
378.000000	22.419324	50.406383	0.001574
379.000000	14.990630	57.015458	0.002147
380.000000	63.721561	-73.563809	0.014106
381.000000	56.249093	79.887082	0.002702
382.000000	56.446702	80.080598	0.010124
383.000000	25.871727	-56.942684	0.001498
384.000000	48.411492	-87.993683	0.003078
385.000000	43.524039	65.965348	0.002303
386.000000	77.445263	71.720891	0.012717
387.000000	-88.583667	87.595416	0.006602
388.000000	63.134200	-72.772821	0.023409
389.000000	-57.291620	85.519284	0.003576
390.000000	62.209478	81.568371	0.001129
391.000000	16.386751	-65.828590	0.004008
392.000000	25.842536	68.313748	0.000780
393.000000	76.322856	71.146524	0.012160
394.000000	55.309148	89.105818	0.004051
395.000000	53.787689	84.142362	0.002549
396.000000	37.299868	-72.010676	0.009676
397.000000	51.632932	-70.409553	0.034895
398.000000	-71.882379	88.500274	0.003636
399.000000	16.720901	-65.675031	0.005959
400.000000	16.813503	-60.001222	0.007984
401.000000	53.689312	76.816264	0.000917
402.000000	64.932980	-77.537726	0.027740
403.000000	-18.890467	81.421264	0.000840
404.000000	-83.178823	79.721682	0.003479
405.000000	47.391292	58.731683	0.004177
406.000000	66.678098	-84.802045	0.020858
407.000000	47.301277	60.984561	0.003792
408.000000	-10.096192	81.898718	0.000224
409.000000	49.093774	-82.932245	0.014706
410.000000	-56.718056	83.568478	0.003665
411.000000	38.419324	-71.701698	0.016144
412.000000	48.951069	-61.294524	0.002126
413.000000	85.631192	80.676802	0.009706
414.000000	32.382068	-73.664819	0.013216
415.000000	42.224673	83.983496	0.000942
416.000000	62.853379	-81.990798	0.017988
417.000000	57.439769	78.117307	0.002709
418.000000	58.805599	78.922576	0.005022
419.000000	59.696866	87.271423	0.004618
420.000000	57.996519	-85.914440	0.011838
421.000000	-39.354334	-79.587948	0.001504
422.000000	57.634977	76.395873	0.024257
423.000000	55.827503	74.382295	0.001158
424.000000	58.938041	79.226455	0.005685
425.000000	76.305849	85.754000	0.003345
426.000000	54.913069	-83.966977	0.459077
427.000000	52.127977	-79.354334	0.006134
428.000000	-41.610379	-88.117568	0.003603
429.000000	11.018328	54.712338	0.033321
430.000000	-25.819485	86.618514	0.000401
431.000000	15.212366	11.690275	0.001419
432.000000	-37.219480	-74.990742	0.002423
433.000000	73.333303	85.449907	0.001913
434.000000	35.251863	-80.080572	0.009787
435.000000	-65.805561	82.919580	0.002438
436.000000	64.443972	-82.315317	0.010417
437.000000	-71.334226	-85.335918	0.004541
438.000000	83.037345	88.608901	0.001647
439.000000	47.211868	-90.678672	0.003140
440.000000	59.156668	-83.065099	0.002110
441.000000	14.431508	-15.939300	0.008611
442.000000	-35.929514	86.919613	0.001530
443.000000	41.599131	-85.356147	0.019424
444.000000	11.837940	-37.291973	0.009732
445.000000	-87.461340	86.004111	0.003606
446.000000	20.332044	-42.333334	0.003535
447.000000	39.178057	71.383921	0.003195
448.000000	62.342681	75.254403	0.000459
449.000000	-33.553717	83.862615	0.144527
450.000000	22.456069	-77.328128	0.001098
451.000000	81.262081	80.927167	0.001840
452.000000	-16.481450	82.697530	0.000150
453.000000	18.474259	-77.962545	0.400403
454.000000	45.467678	-84.100667	0.004678
455.000000	45.778076	-74.481542	0.007060
456.000000	14.005852	76.468213	0.004378
457.000000	38.129979	-84.001735	0.003941
458.000000	71.815347	-81.699931	0.009281
459.000000	67.765082	88.322856	0.000772
460.000000	28.271841	-8.421592	0.003973
461.000000	80.174735	83.815347	0.001070
462.000000	83.408833	0.091979	0.895739
463.000000	-66.488038	-76.836663	0.005019
464.000000	-88.071319	89.254580	0.002831
465.000000	12.965188	80.557265	0.026839
466.000000	-86.437563	-86.876143	0.001728
467.000000	83.297084	-0.945701	1.283790
468.000000	-90.610356	-85.051781	0.002483
469.000000	13.058242	-59.944249	0.004837
470.000000	-76.912399	6.320252	0.473225
471.000000	72.810594	-80.944668	0.009070
472.000000	67.353306	84.394147	0.012555
473.000000	-49.923734	-77.776218	0.002211
474.000000	26.209532	-59.869949	0.000452
475.000000	-77.411064	85.139090	0.001987
476.000000	72.428652	-85.198740	0.007107
477.000000	-22.705873	-75.863193	0.010361
478.000000	62.212609	-74.062204	0.001313
479.000000	14.504454	76.751590	0.027673
480.000000	-75.007342	65.093489	0.005868
481.000000	69.649766	-78.770372	0.006754
482.000000	-32.510209	-87.856475	0.086233
483.000000	-33.354055	-88.006385	0.006408
484.000000	72.232346	88.233668	0.019131
485.000000	-82.202220	1.802691	0.025931
486.000000	37.046585	85.106697	0.012988
487.000000	83.313658	-89.899019	0.004832
488.000000	68.879674	88.858063	0.006137
489.000000	29.058242	-44.628629	0.000059
490.000000	-30.612044	-85.240940	0.005625
491.000000	-87.449136	81.794838	0.001991
492.000000	15.931552	55.401827	0.002030
493.000000	-43.447236	-77.902043	0.002189
494.000000	26.120477	-79.408897	0.001612
495.000000	42.391614	-81.453639	0.001548
496.000000	75.484825	-85.792074	0.002388
497.000000	69.737671	-85.768464	0.004926
498.000000	-33.874839	-69.351260	0.340999
499.000000	72.520490	-88.294676	0.002775
500.000000	24.456069	-61.860052	0.002771
501.000000	28.680968	-59.061906	0.001388
502.000000	-59.077385	88.114572	0.001410
503.000000	74.868804	-89.505401	0.005669
504.000000	62.868453	-89.392568	0.001604
505.000000	-37.045848	-88.419845	0.006554
506.000000	-39.738583	88.599951	0.011075
507.000000	30.773517	-82.326365	0.019870
508.000000	-54.523919	81.724438	0.006797
509.000000	89.152754	-85.234075	0.002054
510.000000	88.875228	-85.386575	0.002778
511.000000	-88.394532	83.401827	0.002012
512.000000	-49.986507	-80.071352	0.004061
513.000000	56.169405	77.488577	0.001874
514.000000	-45.851917	-78.432082	0.003876
515.000000	-29.074574	83.226749	0.007243
516.000000	30.808378	79.810968	0.000683
517.000000	-54.898412	-81.872693	0.005292
518.000000	89.859559	87.466621	0.002827
519.000000	56.857948	-87.828826	0.003345
520.000000	-49.257409	82.653097	0.001887
521.000000	77.956113	-85.519463	0.002303
522.000000	50.365327	78.231700	0.000562
523.000000	-28.046791	-88.108401	0.003273
524.000000	-84.031704	-5.430442	0.461745
525.000000	-69.870021	87.577524	0.003058
526.000000	11.277314	-68.214297	0.015240
527.000000	28.690143	-81.219761	0.008562
528	grain not analyzable
529.000000	29.217638	-84.972198	0.005966
530.000000	48.815876	-88.816297	0.006468
531.000000	-56.728828	-85.772039	0.002883
532.000000	23.439822	-74.300442	0.001462
533.000000	13.155576	65.466060	0.001625
534.000000	44.788745	-88.332204	0.004680
535.000000	35.940885	-82.106654	0.007697
536.000000	11.536715	-51.229483	0.032193
537.000000	-28.636303	-88.424075	0.005371
538.000000	44.283183	-86.745420	0.009039
539.000000	-55.536431	-84.670921	0.004622
540.000000	-52.678301	87.074012	0.001173
541.000000	-35.573142	-88.850700	0.003638
542.000000	73.199002	78.687180	0.005538
543.000000	-51.613055	-79.994442	0.009876
544.000000	71.958983	-87.704614	0.003780
545.000000	31.940885	-88.350234	0.004498
546.000000	40.925447	77.076061	0.002871
547.000000	36.608780	-79.057720	0.007761
548.000000	56.897874	72.778959	0.001758
549.000000	36.276504	-85.545579	0.009139
550	grain not analyzable
551.000000	57.537968	-88.689511	0.000675
552.000000	-66.624120	76.560177	0.005515
553.000000	41.669927	84.635415	0.003185
554.000000	54.853259	77.056517	0.001116
555	grain not analyzable
556.000000	53.769764	79.799787	0.005456
557.000000	46.876865	-80.311717	0.002045
558.000000	66.288887	85.118233	0.002707
559	grain not analyzable
560.000000	41.649712	82.650594	0.011292
561.000000	43.708552	84.543523	0.005524
562.000000	81.844364	87.799554	0.003337
563	grain not analyzable
564.000000	46.214302	78.135439	0.005390
565	grain not analyzable
566.000000	33.975937	69.478698	0.001784
567.000000	22.703756	85.229242	0.000899
568	grain not analyzable
569.000000	-37.483342	-89.870150	0.000591
570.000000	-64.959643	79.439422	0.005348
571	grain not analyzable
572.000000	39.486489	87.810795	0.000936
573	grain not analyzable
574.000000	68.951249	-83.373121	0.002782
575.000000	-70.254688	88.697976	0.095172
576.000000	44.336960	85.459333	0.000486
577.000000	36.921900	78.829114	0.003379
578.000000	-86.362486	89.811917	0.003028
579.000000	47.048104	-82.381769	0.001156
580.000000	50.659923	79.956578	0.002339
581.000000	-71.495984	81.305384	0.230929
582.000000	-54.586891	89.158510	0.000829
583.000000	-79.684664	87.306404	0.000919
584.000000	80.442179	-87.077390	0.001789
585.000000	41.727532	-76.785401	0.000550
586.000000	35.661219	76.740195	0.000697
587.000000	51.750723	89.922637	0.000964
588.000000	38.336143	70.546403	0.000909
589.000000	81.177836	-88.686933	0.007216
590.000000	27.610416	-80.501139	0.004547
591.000000	85.213492	-86.448849	0.003028
592.000000	36.512658	66.952715	0.001355
593.000000	85.463930	-88.369760	0.003548
594.000000	47.289497	-88.271576	0.003999
595.000000	-79.323735	88.519036	0.001738
596.000000	17.200892	-38.326902	0.003090
597.000000	-85.441482	88.618972	0.004159
598.000000	11.492312	-11.493215	0.010669
599.000000	49.770775	77.280852	0.001060
600	grain not analyzable
601.000000	-74.953287	84.061159	0.002282
602.000000	58.661289	-84.913523	0.004997
603.000000	55.501418	79.664952	0.002974
604.000000	50.934759	-76.234952	0.066060
605.000000	34.998437	83.438856	0.011321
606.000000	25.172757	-77.575914	0.000817
607.000000	63.983524	-88.296455	0.010543
608.000000	-42.671197	87.000470	0.004812
609.000000	-60.145053	-82.978574	0.004480
